id,survey_no,village_code,mandal_code,district_code,village_name,mandal_name,district_name,centroid,geometry,layout_id,status,area_sq_m,created_at,updated_at
7b937071-4898-4818-8cb0-f9f949e491f3,286/6A,VIL000,MAN000,NLR,DummyVillage,DummyMandal,Nellore,"80.048784,14.031674","POLYGON((80.048034 14.031174, 80.049534 14.031174, 80.049534 14.032174, 80.048034 14.032174, 80.048034 14.031174))",70922af4-0915-48c0-ad81-0c5f2d6ff7ca,Pending,515,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
35c51044-4ec0-4959-b841-88b51e6d3614,69/5A,VIL001,MAN001,NLR,DummyVillage,DummyMandal,Nellore,"80.002135,14.037777","POLYGON((80.001385 14.037277, 80.002885 14.037277, 80.002885 14.038277, 80.001385 14.038277, 80.001385 14.037277))",c1cf0890-b614-4d30-bda5-2022efcc4d18,Approved,1113,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
8df05c90-b036-4a7e-b500-4acebe06db95,278/8A,VIL002,MAN002,NLR,DummyVillage,DummyMandal,Nellore,"80.070663,14.055902","POLYGON((80.069913 14.055402, 80.071413 14.055402, 80.071413 14.056402, 80.069913 14.056402, 80.069913 14.055402))",c665bc75-11c1-42bf-9356-19b8ce302dfa,Unauthorized,502,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
2e497f5e-2cde-4b9f-8e51-b3367a04b4db,240/5A,VIL003,MAN003,NLR,DummyVillage,DummyMandal,Nellore,"80.054362,14.032368","POLYGON((80.053612 14.031868, 80.055112 14.031868, 80.055112 14.032868, 80.053612 14.032868, 80.053612 14.031868))",a2087294-3ed0-449b-aa18-e1d6c5e52db4,Unauthorized,448,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
8335eebf-97d1-4518-9818-b56d6ba33fb8,152/5A,VIL004,MAN004,NLR,DummyVillage,DummyMandal,Nellore,"80.006888,14.015503","POLYGON((80.006138 14.015003, 80.007638 14.015003, 80.007638 14.016003, 80.006138 14.016003, 80.006138 14.015003))",71882ade-3c95-4383-9e58-38505f2fe9f0,Pending,1049,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
3d1a75a3-86a8-48c3-b261-8dcc8f942a17,195/3A,VIL005,MAN005,NLR,DummyVillage,DummyMandal,Nellore,"80.000072,14.063803","POLYGON((79.999322 14.063303, 80.000822 14.063303, 80.000822 14.064303, 79.999322 14.064303, 79.999322 14.063303))",6b108b41-c980-453e-ab86-8d8e076b9704,Approved,865,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
dc6558df-95ef-446e-bed5-6f8ad7aebfbf,33/9A,VIL006,MAN006,NLR,DummyVillage,DummyMandal,Nellore,"80.077602,14.023879","POLYGON((80.076852 14.023379, 80.078352 14.023379, 80.078352 14.024379, 80.076852 14.024379, 80.076852 14.023379))",32b14434-7c42-442a-b1d0-0118c75b00e7,Pending,508,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
c82125e3-e92b-4111-b55f-0435fe79b51e,283/3A,VIL007,MAN007,NLR,DummyVillage,DummyMandal,Nellore,"80.052407,14.049755","POLYGON((80.051657 14.049255, 80.053157 14.049255, 80.053157 14.050255, 80.051657 14.050255, 80.051657 14.049255))",bd8c00ab-6d8f-4132-8617-617273a67b6a,Pending,780,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
d039e4ae-de8d-44e9-82ee-1a7d0273459c,50/9A,VIL008,MAN008,NLR,DummyVillage,DummyMandal,Nellore,"80.04098,14.032202","POLYGON((80.04023 14.031702, 80.04173 14.031702, 80.04173 14.032702, 80.04023 14.032702, 80.04023 14.031702))",0c2624a2-e7c7-446e-ab1c-6c8067b6857e,Approved,209,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
2ecc5ce1-5a8e-430c-84d1-44356c8e0d42,17/4A,VIL009,MAN009,NLR,DummyVillage,DummyMandal,Nellore,"80.083519,14.012977","POLYGON((80.082769 14.012477, 80.084269 14.012477, 80.084269 14.013477, 80.082769 14.013477, 80.082769 14.012477))",ffa891b2-5cae-45a1-acff-fe75b0cd8073,Pending,512,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
